,blue1,blue99,green1,green99,red1,red99,nir1,nir99,date
80,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201116
81,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20191105
82,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180627
83,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180912
84,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20231102
85,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20191216
86,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211130
87,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220204
88,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20171207
89,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210804
90,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211124
91,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201122
92,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20231225
93,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220404
94,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220911
95,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230410
96,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190505
97,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20181222
98,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201213
99,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201124
100,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230216
101,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230930
102,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20181004
103,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200930
104,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211124
105,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220623
106,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180626
107,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220302
108,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230424
109,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220217
110,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230327
111,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200319
112,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20231120
113,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210404
114,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200828
115,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180915
116,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190125
117,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230113
118,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220308
119,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200611
120,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180523
121,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220131
122,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200207
123,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200624
124,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180406
125,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20181128
126,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20221105
127,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210421
128,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20171114
129,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200325
130,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211219
131,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201230
132,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180627
133,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210105
134,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20240118
135,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210520
136,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211119
137,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210326
138,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210821
139,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20240321
140,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201114
141,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20221105
142,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210206
143,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220405
144,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200403
145,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190807
146,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190728
147,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211213
148,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210805
149,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220823
150,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220113
151,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200112
152,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201103
153,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200425
154,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20191118
155,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20240319
156,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220121
157,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190929
