acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2017-04-27T17:13:08.978255Z,178.6,1029,114,56.3,0.8
2021-05-23T17:39:02.479808Z,100.8,1001,110.2,65.7,5
2017-07-05T17:21:46.892103Z,109.4,0e14,99.7,61.1,0.8
2022-04-12T17:11:08.801516Z,180,220b,119.8,52.4,4
2018-11-08T17:20:56.780867Z,203.4,1020,148.7,35.9,0.1
2019-04-22T17:39:59.543536Z,274.3,103d,124,59.9,2
2022-12-02T17:03:14.443896Z,118.4,2448,146.2,28.4,0.4
2021-03-19T15:01:33.653148Z,83.5,0f46,103.1,19.9,5
2020-09-28T17:19:05.669307Z,107.1,2277,136.6,47,1
2020-12-03T18:16:51.711556Z,103.4,1066,164.9,34.9,1.9000000000000001
2020-11-11T17:49:33.231697Z,258.8,106b,156.6,37.6,3.1
2019-06-20T17:52:12.560938Z,270.5,1061,106.2,68.3,1.1
2020-01-24T18:04:34.025933Z,276,1061,153.8,35.1,3
2018-09-26T17:27:23.500789Z,151.8,0f2b,137.7,48.8,0.1
2018-04-12T17:51:10.789706Z,178.5,0f36,132.2,59.2,0.1
2019-05-22T17:39:33.033103Z,107.3,1013,110.5,65.4,1
2021-06-11T17:16:01.22543Z,277.5,2212,98.9,60.9,5
2021-04-21T17:26:37.922464Z,276.6,2259,119.7,57.2,4
2021-03-22T18:03:18.708156Z,100.2,2424,143.2,53.9,5
2021-12-12T17:26:33.234709Z,260.1,1065,150.8,29.5,5
2023-08-22T17:11:13.316803Z,103.4,2439,115.3,53.6,1.5
2020-02-23T17:45:19.947333Z,274.1,0f22,142.7,41,2
2021-02-26T18:06:06.532051Z,104.7,227b,148.4,45,1
2019-04-30T17:50:40.625374Z,275.8,105f,124,63.7,3
2019-09-28T17:40:21.885097Z,101.6,101f,143,50.2,3
2021-03-11T18:06:07.822884Z,272.2,2307,145.8,49.7,1.9000000000000001
2022-12-11T17:40:16.141094Z,104.8,2481,154.6,31,1.3
2018-06-26T17:30:11.867735Z,145.9,1013,100.7,63.7,0.1
2019-02-12T17:38:58.58994Z,276.2,1004,143.3,36.8,3.1
2018-12-22T17:36:16.122381Z,139.7,1009,152.4,29.8,0.2
2021-05-12T14:53:59.001089Z,252.4,100d,85.6,29.6,1
2021-05-09T17:42:35.692553Z,273.9,1034,117,64.3,1.9000000000000001
2023-01-12T17:40:31.834128Z,276.5,2480,149.9,31,4.1
2017-06-09T17:14:10.004292Z,177.7,1024,98.9,60.9,0.8
2021-05-03T17:14:42.670619Z,179.9,245d,112,58,0.30000000000000004
2017-09-12T17:20:33.757363Z,276.6,0f42,128.8,51,3.6
